accessionnr	uit
AAT07996	Avian
AAT07998	Avian
AAT08000	Human
AAT08002	Human
AAT08004	Avian
AAT09637	Avian
AAT09638	Avian
AAT09639	Avian
AAT09640	Avian
AAT09641	Avian
AAT09642	Avian
AAT12022	Avian
AAT12023	Avian
AAT12024	Avian
AAT12025	Avian
AAT12026	Avian
AAT12027	Avian
AAT12028	Avian
AAT12029	Avian
AAT12030	Avian
AAT12031	Avian
AAT12032	Avian
AAT12033	Avian
AAT12034	Avian
AAT12035	Avian
AAT12036	Avian
AAT12037	Avian
AAT12038	Avian
AAT12039	Avian
AAT12040	Avian
AAT12041	Avian
AAT12042	Avian
AAT12654	Human
AAT12655	Human
AAT12656	Human
AAT12657	Human
AAT12658	Human
AAT12659	Human
AAT12660	Human
AAT12661	Human
AAT12662	Human
AAT12663	Human
AAT12664	Human
AAT12665	Human
AAT12666	Human
AAT12667	Human
AAT12668	Human
AAT12669	Human
AAT12670	Human
AAT12671	Human
AAT12672	Human
AAT12673	Human
AAT12674	Human
AAT12675	Human
AAT12676	Human
AAT12703	Swine
AAT12704	Swine
AAT12706	Swine
AAT37403	Avian
AAT37404	Avian
AAT37405	Avian
AAT37406	Avian
AAT37508	Avian
AAT37563	Avian
AAT38819	Avian
AAT39065	Human
AAT39066	Human
AAT39067	Avian
AAT39068	Avian
AAT39073	Avian
AAT39074	Avian
AAT39075	Avian
AAT39076	Avian
AAT39077	Avian
AAT39078	Avian
AAT39079	Avian
AAT39080	Avian
AAT45076	Avian
AAT51806	Human
AAT51807	Human
AAT51808	Human
